role,name,team
student,jadenlimjc,CS2113-T10-1
student,Ridiculouswifi,CS2113-T10-1
student,rahuljai-05,CS2113-T10-1
student,Toby-Yu,CS2113-T10-1
student,kaboomzxc,CS2113-T10-2
student,G13nd0n,CS2113-T10-2
student,yentheng0110,CS2113-T10-2
student,PrinceCatt,CS2113-T10-2
student,coraleaf0602,CS2113-T10-2
student,sarahchow03,CS2113-T10-3
student,averageandyyy,CS2113-T10-3
student,xenthm,CS2113-T10-3
student,iaso1774,CS2113-T10-3
student,AdiMangalam,CS2113-T10-4
student,glenda-1506,CS2113-T10-4
student,mayfairmi6,CS2113-T10-4
student,kq2003,CS2113-T10-4
student,AjayShanker-geek,CS2113-T11-1
student,NCF3535,CS2113-T11-1
student,lowjunchen,CS2113-T11-1
student,kennethszj,CS2113-T11-1
student,Metanyu,CS2113-T11-1
student,Paulifyer,CS2113-T11-2
student,raneeng,CS2113-T11-2
student,frederickemerson,CS2113-T11-2
student,mikolajed,CS2113-T11-2
student,angelinawong1210,CS2113-T11-2
student,SemiColonKen,CS2113-T11-3
student,tkhahns,CS2113-T11-3
student,rexkoh425,CS2113-T11-3
student,CT9ARyan,CS2113-T11-3
student,AaronZZ10,CS2113-T11-3
student,tayjerom,CS2113-T11-4
student,lucas-sc0,CS2113-T11-4
student,DucPhong135,CS2113-T11-4
student,danusan-s,CS2113-T11-4
student,LuxLucky7,CS2113-T11-4
student,telferang,CS2113-W10-1
student,Chinorea,CS2113-W10-1
student,ZiliaAJY,CS2113-W10-1
student,Alfred-Goh02,CS2113-W10-1
student,ChuaCleon,CS2113-W10-1
student,wahkia,CS2113-W10-2
student,hzxnancy,CS2113-W10-2
student,louisjoety,CS2113-W10-2
student,Chiang-HuiXin,CS2113-W10-2
student,chewycj,CS2113-W10-2
student,andreusxcarvalho,CS2113-W10-3
student,TVageesan,CS2113-W10-3
student,Atulteja,CS2113-W10-3
student,nirala-ts,CS2113-W10-3
student,Bev-low,CS2113-W10-3
student,Gao327,CS2113-W10-4
student,Oshen27,CS2113-W10-4
student,YukeeHong,CS2113-W10-4
student,DanLinhHuynh-Niwashi,CS2113-W10-4
student,Dri-water,CS2113-W12-1
student,ryan-txn,CS2113-W12-1
student,ryryry-3302,CS2113-W12-1
student,DarkDragoon2002,CS2113-W12-1
student,kennethSty,CS2113-W12-1
student,Holy-An,CS2113-W12-2
student,paulktham,CS2113-W12-2
student,isaacsaw25,CS2113-W12-2
student,ehz0ah,CS2113-W12-2
student,ThisisXXZ,CS2113-W12-2
student,KHsienKit,CS2113-W12-3
student,Progresst-8,CS2113-W12-3
student,shyaamald,CS2113-W12-3
student,Hackin7,CS2113-W12-3
student,AndrewNguyen4,CS2113-W12-3
student,Zhang-Zhitong,CS2113-W12-4
student,naveen42x,CS2113-W12-4
student,shaunngoh,CS2113-W12-4
student,YubotKwng,CS2113-W12-4
student,Lucky-Yuan00,CS2113-W12-4
student,gskang-22,CS2113-W13-1
student,KSanjith,CS2113-W13-1
student,3CCLY,CS2113-W13-1
student,seanngja,CS2113-W13-1
student,Sukkaito,CS2113-W13-1
student,ayushi0803,CS2113-W13-2
student,Zackermax,CS2113-W13-2
student,TheDinos,CS2113-W13-2
student,CheeKiangg,CS2113-W13-2
student,Yvorm,CS2113-W13-2
student,LTK-1606,CS2113-W13-3
student,jemehgoh,CS2113-W13-3
student,glenn-chew,CS2113-W13-3
student,KuanHsienn,CS2113-W13-3
student,MatchaRRR,CS2113-W13-3
student,yeekian,CS2113-W13-4
student,RCPilot1604,CS2113-W13-4
student,TrungBui32,CS2113-W13-4
student,jinzihan2002,CS2113-W13-4
student,ThienDuc3112,CS2113-W13-4
student,NigelYeoTW,CS2113-W14-1
student,wongwh2002,CS2113-W14-1
student,TPH777,CS2113-W14-1
student,wx-03,CS2113-W14-1
student,rharwo,CS2113-W14-1
student,C2linaung,CS2113-W14-2
student,Yisoong,CS2113-W14-2
student,parasytezz,CS2113-W14-2
student,crystal-bys,CS2113-W14-2
student,anlamm,CS2113-W14-2
student,kestryix,CS2113-W14-3
student,ctzeyong,CS2113-W14-3
student,limkongkiat,CS2113-W14-3
student,Littleme1032,CS2113-W14-3
student,tsoudibi,CS2113-W14-3
student,yijiano,CS2113-W14-4
student,yakultbottle,CS2113-W14-4
student,cnivedit,CS2113-W14-4
student,philip1304,CS2113-W14-4
student,cxc0418,CS2113-W14-4
students,Eclipse-Dominator,dev-team
students,Echomo-Xinyu,dev-team
students,MadLamprey,dev-team
students,nknguyenhc,dev-team
students,NereusWB922,dev-team
students,Arif-Khalid,dev-team
student,okkhoy,teaching-team
student,damithc,teaching-team
